,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
0,25-34,Osteoporosis,2010-03-16,lotensin,6883,4,3,this treatment is awsome.  I love drugs.,2,Male,"Dizziness ,  lightheadedness , drowsiness, or  headache  may occur as your body adjusts to the  medication . Dry  cough  may also occur.",0,0.0017121229,0.0011309125
1,45-54,Post-Menopausal Osteoporosis Prevention,2017-07-31,lopreeza,167327,5,2,After taking this drug for approx. 21 days I started spotting and bleeding.  I'm bloated and feel tired.  So far I'm not impressed and not a happy camper at all.  There has to be another solution or medication other than this particular medication.,3,Male,"Stomach  upset,  nausea / vomiting ,  bloating ,  breast  tenderness,  headache , or  weight  changes may occur.",0,0.9996364,0.0005606646
2,45-54,Post-Menopausal Osteoporosis Prevention,2016-12-29,lopreeza,167327,5,5,I have taken this drug for almost 7 years without any side effects. I have recommended Lopreeza to other women with confidence.  ,5,Female,"Stomach  upset,  nausea / vomiting ,  bloating ,  breast  tenderness,  headache , or  weight  changes may occur.",1,0.9994618,0.9990865
3,65-74,Osteoporosis,2010-05-26,liquid calcium + vitamin d,93396,5,5,since I have a hard time swallowing this hs worked for me,5,Female,Constipation  or  stomach  upset may occur.,1,0.001908364,0.99816906
4,45-54,Osteoporosis,2012-01-19,oyster shell + d,94390,1,1,I have severe pain in my hand and muscle joints after taking this medicine!,1,Female,Constipation  or  stomach  upset may occur.,2,0.9994536,0.0005434917
5,75 or over,Osteoporosis,2015-02-23,os-cal 500-vit d3,16527,1,3,"Food dyes and talc...large pill for a newly removed thyroid throat! So I have been dissolving them in a bit of hot water, add a little fruit juice and drink it! HAVE A BAD COUGH SINCE STARTING THIS CALCIUM. COULD IT BE AN ALLERGIC REACTION?",1,Female,Constipation  or  stomach  upset may occur.,1,0.9996136,0.00068372063
6,45-54,Osteoporosis,2012-08-27,os-cal 500-vit d3,16527,5,3,"I have taken it for 6 months and it did not increase nor decrease. But I got a persistent cough. When I interrupted for few days, cough disapeared. Once I re-started taking the medication I got cough again.",1,Male,Constipation  or  stomach  upset may occur.,2,0.99959797,0.9987595
7,55-64,Osteoporosis,2009-06-17,os-cal 500-vit d3,16527,5,5,"I am 64 years old, and am trying to avoid loss of bone.  My Doctor suggested I take calcium plus D.  OS-CAL ultra has always worked very well.  For a few months I could not find OS-CAL anywhere on pharmacy shelves. When I started taking the 600 plus D I was elated.  Now 2 weeks later I am having a reaction to the coating on the tablets.  I have been allergic to Reds and Yellow dyes for ages (20 years), the tablets appear gray in color, but upon reading the back label I discovered red 40 lake along with blue 2 lake.  My someone please contace GlazoSmithKline and ask IF they even make a all white tablet or send me the info. and I will call them.
Yours, 
Jackie Ann Bowen
606-215-7276",1,Female,Constipation  or  stomach  upset may occur.,9,0.9641318,0.23981039
8,25-34,Osteoporosis,2011-02-01,mepron,1374,4,3,This drug is awesome.  I love drugs.,2,Male,"Nausea ,  vomiting ,  diarrhea ,  headache ,  dizziness ,  trouble sleeping , or  runny nose  may occur.",0,0.0017908324,0.0012193263
9,75 or over,Osteoporosis,2009-07-28,men's potent formula,701,1,1,"Doctor wants to put me on bovina
another says i do not need the medication. I am 93 years old ,play 18 holes of golf three days a week. Iam in very good health. The former dr. has the bone densit machine in his office",1,Male, ,0,0.0022283727,0.0025919124
