Review,Label
this treatment is awsome.  I love drugs.,effectiveness
After taking this drug for approx. 21 days I started spotting and bleeding.  I'm bloated and feel tired.  So far I'm not impressed and not a happy camper at all.  There has to be another solution or medication other than this particular medication.,side effect
I have taken this drug for almost 7 years without any side effects. I have recommended Lopreeza to other women with confidence.  ,side effect
since I have a hard time swallowing this hs worked for me,ease of use
I have severe pain in my hand and muscle joints after taking this medicine!,side effect
"Food dyes and talc...large pill for a newly removed thyroid throat! So I have been dissolving them in a bit of hot water, add a little fruit juice and drink it! HAVE A BAD COUGH SINCE STARTING THIS CALCIUM. COULD IT BE AN ALLERGIC REACTION?",side effect
"I have taken it for 6 months and it did not increase nor decrease. But I got a persistent cough. When I interrupted for few days, cough disapeared. Once I re-started taking the medication I got cough again.",side effect
"I am 64 years old, and am trying to avoid loss of bone.  My Doctor suggested I take calcium plus D.  OS-CAL ultra has always worked very well.  For a few months I could not find OS-CAL anywhere on pharmacy shelves. When I started taking the 600 plus D I was elated.  Now 2 weeks later I am having a reaction to the coating on the tablets.  I have been allergic to Reds and Yellow dyes for ages (20 years), the tablets appear gray in color, but upon reading the back label I discovered red 40 lake along with blue 2 lake.  My someone please contace GlazoSmithKline and ask IF they even make a all white tablet or send me the info. and I will call them.
Yours, 
Jackie Ann Bowen
606-215-7276",effectiveness
This drug is awesome.  I love drugs.,effectiveness
"Doctor wants to put me on bovina
another says i do not need the medication. I am 93 years old ,play 18 holes of golf three days a week. Iam in very good health. The former dr. has the bone densit machine in his office",effectiveness
"I have been on menostar for three years and love it...my bone density has improved, all my menopausal symptoms have disappeared, and i lost ten pounds.  ",effectiveness
"My first month on Minivelle patch was good. No problems to report. However, during the second month the patch left itchy, red circular area.  Drug rep suggested waving patch around for 30 seconds prior to putting it on skin to evaporate alcohol.  I tried but my allergic reaction to it grew worse. I have to try something else.  Bummer!",side effect
"Pharmacist switched from my Vivelle dot to this last month and it was terrible!! Headaches, fatigue and it actually burned a circle on my skin where patch was located!!! BEWARE, I have gone back to Vivelle Dot and will never use minivelle again. Companies should not be able to arbitrarily switch like this!",side effect
"Am I the only one out there that is hyper-sensitive to hormone replacement? This is the third time I have tried a ""bio-identical"" estrogen. Started with cream about 10 yrs ago, couldn't hack that. Couple years ago my Dr. put me on vaginal estradiol. Worked great in the sex dept. since menopause made sex so painful. After a while on that, had to stop due to shortness of breath, sleep issues, jitters. Plus my estrogen level sky-rocked to 900! Dr. just put me on Miniville 0.0375 one week ago. Today I am feeling the shortness of breath, jittery and fatique. Been using topical progesterone for years and had to back off of that. Have worsening osteopenia in hip and osteoporisis in lower spine. Brief stint with Prometrium helped the bone loss, but side effects were too much. Think part of the bone problem may stem from years of acid reflux med, Prevacid. I exercise, take calcium, D3, magnesium, K2, etc.... nothing seems to be helping the bone loss. Trying to get off Prevacid, tough go. Danged if I do and danged if I don't. Anyone???????",side effect
"I have used the minivelle and developed severe hot flashes and nausea. Ive taken it off for a bit then tried again, and each time I get these symptoms. Spend the night taking off covers then putting them back on only to wake up and have to remove them again. ",side effect
"I used Vivelle Dot for years and loved it.   I had several refills left but my pharmacy called my doctor and said they no longer have it and to change my prescription to Minivelle.  I've been using it a couple of weeks and the sticky residue around the edges causes it to stick to my clothes and it gets pulled off.   Also I've had a terrible headache that I can't gat rid of, wake up  sweating, and today, even though I've never had blood pressure problems, it was quite high when checked at the doctors office.",side effect
"I was on Vivelle-dot .05 for three years and did not have a single problem. I switched to this in July based on doctor recommendation.  I started feeling nauseated and thought at first I had something, but as I continued use I had joint pain, weird head pain (and I have low blood pressure), and breast tenderness.  It started getting progressively worse and decided to start looking to see if others were having problems.  I immediately discontinued use when I read others were having problems.  I do not recommend this product.",side effect
I switched to minivelle in February just got my blood test back and estrogen way low! Hot flashes back and disrupted sleep! Going to switch back to Dot.,side effect
I have been on Vivelle Dot 0.075 for four years and i like it. It works great for me but my doctor put me on Minivelle 0.1 I DID NOT LIKE ANYTHING ABOUT IT !!!!! I had verry bad hot flashes and it made me feel sick all the time. I had a lot of side effects from Minivelle. I dont care that the price is cheaper then Vivelle Dot It is all about how it makes you feel. Went back to Vivelle Dot and my hot flashes are gone and i dont feel sick anymore !!!!!,side effect
"I am on my 4th year of taking this medication. I started it because I found out that I have  mosaic turners syndrome which threw me into early perimenopause in my early 30's. I found that I am still having irregular periods, and I had never noticed any ""menopause"" symptoms. At this point, I will keep taking as long as I believe its helping prevent O.P. I'm too young for that. PS I am a stupid smoker, and the doctor is aware. Luckily I have not had any clots, and hopefully will never get one. #At least before I quit smoking#",effectiveness
"Started it when I began having horrible hot flashes, trouble sleeping, irritability and all the usual menopausal symptoms.  I have been on it 8 years. When my dr. and I tried to take me off the HRT, about a week later the symptoms came back full force. No way I was going to suffer again so I have been on Activella(Mimvey) ever since.  My doctor has no problem with that as I feel good and it helps with bone loss.  I just turned 65 and will stay on this as long as I does not cause any problems.",side effect
"After taking this medication for only 3 weeks I've noticed getting ""very"" irritable, pain in my left calf, put on quite a bit of weight, soreness in my breasts, headaches, and the emotional roller coaster is horrible.  Needless to say, I'm OFF this medication!!!!",side effect
