,Reviews,limb_pain,gastrointestinal,dental,cardiac,dermatological,respiratory,weight_gain_and_loss,headache,menstrual,fatigue,body_temperature
0,"I am a fit 63 year old male who was surprised to learn he had low bone density. I took 4 injections of Prolia without side effects from 2014 to 2016 on recommendation of an endocrinologist. My bone density appeared to have improved slightly. I had a follow up appointment with my endocrinologist in May 2017 and he was quite concerned, having recently read reports of spontaneous spinal fractures and rapid reversal of bone density gains after ceasing to use Prolia. So we finally discussed where my Prolia use was going long term and he was vague - 10 years  of Prolia and then transition to bisphosphonates. Ten years on a drug that hadn't been tested that long! I realized I was a guinea pig taking a drug with an alarming and growing list of side effects for uncertain benefit (after all, people have fractured femurs as a result of taking this drug - one of the strongest bones in the body). Time to abandon this train before it ran off the rails or crashed. I will take no more Prolia. Before you take Prolia have a careful chat to your physician about your long term plans - once on this drug, you can't stop without rapid reversal of bone density gain - you become a slave to it - so you may want consider whether there is any point in starting?",0.87346125,0.014791279,0.005041794,0.0072805667,0.0031952278,0.005019809,0.005157012,0.004917573,0.0114999665,0.002084134,0.0034286182
1,"I had my first injection in January.  No side effects for a while.  I have had a lot of pain between my shoulder blades and back.  I had to go to ER last w/e due to chest pains.  Not sure if it is related, will have stress test this week.  Have noticed a difference in my teeth, going to the dentist soon to see if there is a change in strength and spacing.  After reading reviews, not sure if I want to take the next shot, which is due  in June.",0.78821015,0.017522097,0.047899466,0.010138917,0.005762535,0.0029755388,0.002707698,0.0072094025,0.0066541205,0.0040339604,0.0021250097
2,"At the age of 62, I discovered I had severe osteoporosis in the spine, and after trying oral bisphosphonates (terrible reaction!) requested denusomab. Three injections in, and helped by supplementary calcium and vitamin D, my bone density has improved by 5%. I am cautiously delighted. No noticeable side effects so far. My specialist says by age 70 at this rate my bone density will be better than that of most of my peers. ",0.0052116048,0.040672902,0.0060933647,0.003509785,0.0033169547,0.005264402,0.0038471883,0.004853187,0.032130107,0.20140901,0.0028962877
3,"About a week after first injection, developed severe neuropathy in both feet.  My doctor said that it couldn't have been from the drug.  Many specialists later, a vascular specialist said that the drug possibly caused my lymphedema.  It has ruined my life.  Will never get another injection.  I'd rather break a bone!",0.44608274,0.15374866,0.012810566,0.0047481125,0.011469235,0.0028344982,0.0044184434,0.022913624,0.039060514,0.87535805,0.009981869
4,"I want to thank everyone here that rated this drug. I was almost convinced by my doctor to take this drug, but after reading all these side affects, I will NOT be trying this. I have determined that the risk is not worth the maybe help from this drug. I pray that these women get well after stopping the treatment.",0.015231547,0.008141291,0.0028759514,0.003921434,0.0034522698,0.0034405636,0.0028801074,0.0027956045,0.008328738,0.0035875633,0.0042090714
5,"5th injection, no side effects,now normal bone in hips,-1.5 in hips",0.0060847104,0.005623187,0.0052013774,0.004691545,0.0050250464,0.0056666937,0.005384205,0.009908317,0.0050761653,0.012118012,0.011281631
6,"This is the worse medication my husband has ever taken. It should be taken off the market. He was in pain before but now it is 10 fold. He got his first shot back in July 2016 due for another one in Jan.2017. That is not happening. his bones hurt and he says his muscles feel like they are being pulled from the bone. Arms, legs, shoulders, neck all hurt from getting the prolia shot...  ",0.9872578,0.01142529,0.015266546,0.014431485,0.01166296,0.01800879,0.005758682,0.007977222,0.0025931848,0.9864871,0.008574757
7,"Call FDA to report negative side effects 1 888-463-6332.  Especially if you are having stomach issues. Be sure to report if the doctor reviewed your possible side effects or did they say ""No side effects"".  Tell the FDA about your doctors reaction to your reports of Prolia side effects. Did they say this couldn't be prolia? The more we report the more likely they will review this drug.  See Ask a patient   anyone on prolia   Topix any one on prolia. You are not alone.  ",0.01007461,0.016177002,0.005448156,0.0035813998,0.0066903564,0.035818312,0.001419228,0.0077077644,0.0137136495,0.33798015,0.057396676
8,"This month I have received my 4th injection of Prolia for having Osteoporosis. I am thankful I have had ZERO side effects! (I have previously tried  biphosphonate drugs, they  gave me terrible side effects.) I will get my bone density next June to see the results and will write a review at that time. While I am sorry for those women who have problems related to Prolia, my doctor has told me  he treats over a 100 patients and not one person has had a serious side effect. ",0.008940042,0.0029049953,0.0031237362,0.010312338,0.0031979503,0.009327203,0.0033492548,0.0038484603,0.0065683336,0.89161366,0.021210818
9,"This drug has ruined my mother's daily life. Prior to getting this shot she was an active and fairly healthy 75 year old women.  She is miserable now, having developed skin lesions all over her body that constantly itch like crazy! She has tried everything that her doctor has told her to do. She saw a dermatologist who told her to take a bleach bath, has had steroid cream among other creams and pills to ""help"",  all of which have done nothing for this problem that arose after having this shot.  She is miserable and has lost interest in daily activities. Please read the reviews and consider the side effects even if they are rare or unlikely side effects. My mom is just waiting out the time period now for this to get out of her body so that she can be herself again.",0.13072574,0.0068879803,0.002961098,0.011723445,0.52697027,0.0059988596,0.0017055868,0.0044649704,0.0020288283,0.7531725,0.0052424264
